year,week,gross,top_release,releases,long_weekend
1980,1,7614000,Kramer vs. Kramer,1,false
1980,3,9970342,Kramer vs. Kramer,3,false
1980,4,8295181,Kramer vs. Kramer,2,false
1980,5,26605665,American Gigolo,3,false
1980,6,24424638,Hero at Large,4,false
1980,7,12312572,The Last Married Couple in America,2,false
1980,9,19702207,Kramer vs. Kramer,2,false
1980,10,8879852,Coal Miner's Daughter,2,false
1980,11,4276651,Kramer vs. Kramer,2,false
1980,12,7686531,Hide in Plain Sight,3,false
1980,13,11699446,Little Miss Marker,4,false
1980,14,1842497,When Time Ran Out...,1,false
1980,16,10809445,Kramer vs. Kramer,2,false
1980,17,9513306,Kramer vs. Kramer,3,false
1980,18,4336398,Where the Buffalo Roam,1,false
1980,19,54852885,Friday the 13th,3,false
1980,20,46856795,Fame,4,false
1980,21,53660128,The Shining,3,false
1980,22,11347960,Star Wars: Episode V - The Empire Strikes Back,2,false
1980,24,33709862,Bronco Billy,4,false
1980,25,51271909,Star Wars: Episode V - The Empire Strikes Back,5,false
1980,26,100179015,The Blues Brothers,3,false
1980,27,13995275,Star Wars: Episode V - The Empire Strikes Back,1,false
1980,28,17497440,Star Wars: Episode V - The Empire Strikes Back,3,false
1980,29,36100141,Honeysuckle Rose,3,false
1980,30,83152165,Caddyshack,3,false
1980,31,10274074,Star Wars: Episode V - The Empire Strikes Back,1,false
1980,32,18926738,The Fiendish Plot of Dr. Fu Manchu,4,false
1980,33,38861651,Xanadu,3,false
1980,34,48326726,Smokey and the Bandit II,1,false
1980,35,75050432,Star Wars: Episode V - The Empire Strikes Back,3,false
1980,38,54596588,Ordinary People,1,false
1980,39,19821036,Stardust Memories,6,false
1980,40,43484306,My Bodyguard,7,false
1980,41,73257897,Private Benjamin,2,false
1980,43,6214370,Motel Hell,2,false
1980,44,5686592,The Awakening,1,false
1980,46,2522886,The Idolmaker,2,false
1980,47,204800,Raging Bull,1,false
1980,48,212826,Raging Bull,2,false
1980,49,19249211,The Competition,3,false
1980,50,158421591,Stir Crazy,4,false
1980,51,176579095,9 to 5,5,false
1980,52,136736218,Coal Miner's Daughter,5,false
1981,5,5228003,The Incredible Shrinking Woman,1,false
1981,6,15031958,The Incredible Shrinking Woman,1,false
1981,7,1583207,Sphinx,1,false
1981,10,1739158,All Night Long,1,false
1981,11,10541608,Back Roads,4,false
1981,12,22096997,Back Roads,4,false
1981,13,13679710,The Final Conflict,2,false
1981,15,35646628,Excalibur,3,false
1981,16,11305928,Nighthawks,1,false
1981,17,2026992,The Hand,2,false
1981,18,16856261,Friday the 13th Part 2,3,false
1981,19,616542,King of the Mountain,1,false
1981,21,33887273,Outland,4,false
1981,22,74734444,The Four Seasons,3,false
1981,24,40723215,History of the World: Part I,2,false
1981,25,35774926,Superman II,2,false
1981,26,178996260,Stripes,6,false
1981,27,85273343,For Your Eyes Only,3,false
1981,28,48967271,Superman II,1,false
1981,29,10298865,Endless Love,2,false
1981,30,32100019,Endless Love,2,false
1981,31,16528997,Under the Rainbow,1,false
1981,32,2347425,Student Bodies,1,false
1981,33,2818007,Student Bodies,1,false
1981,34,15265452,Prince of the City,3,false
1981,35,26245786,An American Werewolf in London,3,false
1981,36,23177178,Body Heat,1,false
1981,38,4528980,Continental Divide,2,false
1981,39,13131466,Continental Divide,3,false
1981,40,88316,Zoot Suit,1,false
1981,41,3167766,Zoot Suit,1,false
1981,43,471363,Silence of the North,1,false
1981,44,10725547,Halloween II,2,false
1981,45,25256029,Halloween II,2,false
1981,46,1548165,The Pursuit of D.B. Cooper,1,false
1981,47,2568893,The Pursuit of D.B. Cooper,3,false
1981,49,4027671,Reds,2,false
1981,50,3503990,Rollover,3,false
1981,51,26342432,Neighbors,8,false
1981,52,8476116,Modern Problems,3,false
1982,1,244523055,Indiana Jones and the Raiders of the Lost Ark,10,false
1982,2,166686532,Arthur,15,false
1982,3,29839397,Absence of Malice,17,false
1982,4,56299613,Ghost Story,20,false
1982,5,27063001,On Golden Pond,14,false
1982,6,26355437,On Golden Pond,15,false
1982,7,58385542,On Golden Pond,17,false
1982,8,42089089,Das Boot,15,false
1982,9,35796353,Reds,12,false
1982,10,21547520,On Golden Pond,9,false
1982,11,32031243,Richard Pryor: Live on the Sunset Strip,12,false
1982,12,62869452,Indiana Jones and the Raiders of the Lost Ark,15,false
1982,13,47025032,Porky's,13,false
1982,14,56298041,Porky's,15,false
1982,15,47791198,Porky's,13,false
1982,16,30760214,Porky's,11,false
1982,17,28660651,Porky's,13,false
1982,18,32206667,Missing,13,false
1982,19,25776731,Porky's,12,false
1982,20,33869387,Conan the Barbarian,13,false
1982,21,37802215,Conan the Barbarian,17,false
1982,22,61829348,Rocky III,16,false
1982,23,85574644,Star Trek II: The Wrath of Khan,17,false
1982,24,96979817,E.T. the Extra-Terrestrial,16,false
1982,25,86314505,E.T. the Extra-Terrestrial,14,false
1982,26,92849230,E.T. the Extra-Terrestrial,16,false
1982,27,85679005,E.T. the Extra-Terrestrial,16,false
1982,28,87502575,E.T. the Extra-Terrestrial,15,false
